Day,Algorithm name,Visited nodes,Execution time,Actual cost, ,Algorithm name,Visited nodes,Execution time,Actual cost, ,Algorithm name,Visited nodes,Execution time,Actual cost,
38,DIJKSTRA,35,245900,107.35, ,IDA*,27,7300,100.75, ,LRTA*,4,12900,95.80000000000001, 
39,DIJKSTRA,35,320700,93.69999999999999, ,IDA*,27,10600,101.8, ,LRTA*,4,17500,121.5, 
40,DIJKSTRA,35,388100,118.8, ,IDA*,27,13100,107.75, ,LRTA*,4,15600,108.05000000000001, 
41,DIJKSTRA,35,329300,97.25, ,IDA*,27,10200,97.25, ,LRTA*,4,28900,121.5, 
42,DIJKSTRA,35,316900,99.0, ,IDA*,27,18500,108.75, ,LRTA*,4,41000,108.05000000000001, 
43,DIJKSTRA,35,459900,118.75, ,IDA*,27,11300,118.75, ,LRTA*,4,16100,109.25, 
44,DIJKSTRA,35,288400,95.69999999999999, ,IDA*,27,12300,99.1, ,LRTA*,4,20700,108.05000000000001, 
45,DIJKSTRA,35,206700,97.5, ,IDA*,27,22600,103.5, ,LRTA*,4,10300,109.95, 
46,DIJKSTRA,35,177800,100.3, ,IDA*,27,5800,100.8, ,LRTA*,4,28200,121.5, 
47,DIJKSTRA,35,2508900,92.8, ,IDA*,27,17100,111.75, ,LRTA*,4,1930900,92.8, 
48,DIJKSTRA,35,1825500,100.25, ,IDA*,27,26000,93.7, ,LRTA*,4,31100,108.05000000000001, 
49,DIJKSTRA,35,656300,117.9, ,IDA*,27,23800,108.75, ,LRTA*,4,26400,109.25, 
50,DIJKSTRA,35,413500,106.05, ,IDA*,27,25600,106.8, ,LRTA*,4,42500,97.7, 
51,DIJKSTRA,35,345100,97.95, ,IDA*,27,12800,97.95, ,LRTA*,4,20200,107.35, 
52,DIJKSTRA,35,372300,96.30000000000001, ,IDA*,27,16000,99.05, ,LRTA*,4,18400,107.35, 
53,DIJKSTRA,35,415100,97.55, ,IDA*,27,11100,102.3, ,LRTA*,4,69000,97.55, 
54,DIJKSTRA,35,607800,100.45, ,IDA*,27,15200,100.45, ,LRTA*,4,24900,109.25, 
55,DIJKSTRA,35,1714400,90.9, ,IDA*,27,23300,114.5, ,LRTA*,4,29300,90.9, 
56,DIJKSTRA,35,336300,112.55, ,IDA*,27,31900,98.75, ,LRTA*,4,20100,102.45, 
57,DIJKSTRA,35,138700,111.85, ,IDA*,27,6300,112.7, ,LRTA*,4,9600,119.6, 
58,DIJKSTRA,35,122200,98.15, ,IDA*,27,10500,94.75, ,LRTA*,4,21300,121.5, 
59,DIJKSTRA,35,171500,120.5, ,IDA*,27,5700,101.95, ,LRTA*,4,9400,111.35, 
60,DIJKSTRA,35,233800,96.1, ,IDA*,27,9600,99.45, ,LRTA*,4,13100,96.1, 
61,DIJKSTRA,35,182300,105.05, ,IDA*,27,9800,109.3, ,LRTA*,4,13800,126.25, 
62,DIJKSTRA,35,192600,90.9, ,IDA*,27,18600,113.4, ,LRTA*,4,13200,90.9, 
63,DIJKSTRA,35,179600,92.8, ,IDA*,27,9700,97.95, ,LRTA*,4,11500,92.8, 
64,DIJKSTRA,35,186400,92.8, ,IDA*,27,6200,101.8, ,LRTA*,4,9900,92.8, 
65,DIJKSTRA,35,186400,90.79999999999998, ,IDA*,27,10300,93.8, ,LRTA*,4,18100,94.19999999999999, 
66,DIJKSTRA,35,192100,89.3, ,IDA*,27,9300,89.3, ,LRTA*,4,15900,109.95, 
67,DIJKSTRA,35,199200,95.60000000000001, ,IDA*,27,9600,103.2, ,LRTA*,4,13800,96.1, 
68,DIJKSTRA,35,183700,93.7, ,IDA*,27,9400,93.7, ,LRTA*,4,23500,109.95, 
69,DIJKSTRA,35,217800,99.1, ,IDA*,27,6100,97.95, ,LRTA*,4,9500,99.1, 
70,DIJKSTRA,35,149600,109.25, ,IDA*,27,7500,98.05, ,LRTA*,4,19700,109.25, 
71,DIJKSTRA,35,160500,115.5, ,IDA*,27,12100,115.5, ,LRTA*,4,18900,119.6, 
72,DIJKSTRA,35,439900,97.04999999999998, ,IDA*,27,153100,97.25, ,LRTA*,4,41100,119.6, 
73,DIJKSTRA,35,213200,96.44999999999999, ,IDA*,27,40900,99.1, ,LRTA*,4,18200,107.35, 
74,DIJKSTRA,35,178900,99.4, ,IDA*,27,6900,105.05, ,LRTA*,4,9400,119.6, 
75,DIJKSTRA,35,127300,102.15, ,IDA*,27,7200,110.05, ,LRTA*,4,9000,95.80000000000001, 
76,DIJKSTRA,35,106300,95.2, ,IDA*,27,6300,95.25, ,LRTA*,4,9400,109.95, 
77,DIJKSTRA,35,104500,107.85, ,IDA*,27,6600,111.75, ,LRTA*,4,7700,107.35, 
78,DIJKSTRA,35,103100,98.0, ,IDA*,27,9300,110.3, ,LRTA*,4,8600,119.6, 
79,DIJKSTRA,35,107100,99.1, ,IDA*,27,6500,99.05, ,LRTA*,4,7900,99.1, 
80,DIJKSTRA,35,107400,99.25, ,IDA*,27,4700,97.25, ,LRTA*,4,8300,113.25, 
