Day,Algorithm name,Visited nodes,Execution time,Actual cost, ,Algorithm name,Visited nodes,Execution time,Actual cost, ,Algorithm name,Visited nodes,Execution time,Actual cost,
1,DIJKSTRA,35,2028700,100.85000000000001, ,IDA*,27,72400,100.85000000000001, ,LRTA*,23,153700,883.8999999999999, 
2,DIJKSTRA,35,735400,100.9, ,IDA*,27,49300,107.65, ,LRTA*,7,35900,198.5, 
3,DIJKSTRA,35,706700,101.0, ,IDA*,27,46700,95.3, ,LRTA*,6,33000,270.5, 
4,DIJKSTRA,35,1132500,96.19999999999999, ,IDA*,27,101000,97.25, ,LRTA*,9,61800,275.6, 
5,DIJKSTRA,35,1233600,104.15, ,IDA*,27,169100,95.3, ,LRTA*,14,248700,409.34999999999997, 
6,DIJKSTRA,35,932700,102.44999999999999, ,IDA*,27,51900,111.5, ,LRTA*,5,33700,147.70000000000002, 
7,DIJKSTRA,35,488700,107.35, ,IDA*,27,35800,104.7, ,LRTA*,7,44500,205.1, 
8,DIJKSTRA,35,777300,123.75, ,IDA*,27,44300,122.5, ,LRTA*,5,26000,175.0, 
9,DIJKSTRA,35,585900,104.0, ,IDA*,27,280500,98.05, ,LRTA*,8,477100,209.0, 
10,DIJKSTRA,35,6536600,92.9, ,IDA*,27,210300,90.8, ,LRTA*,6,87400,169.0, 
11,DIJKSTRA,35,409400,109.95, ,IDA*,27,102100,103.2, ,LRTA*,4,28900,109.95, 
12,DIJKSTRA,35,1432100,95.3, ,IDA*,27,69600,95.3, ,LRTA*,9,63600,410.25, 
13,DIJKSTRA,35,739100,102.44999999999999, ,IDA*,27,83600,118.25, ,LRTA*,6,32000,153.7, 
14,DIJKSTRA,35,513900,104.35, ,IDA*,27,13600,97.25, ,LRTA*,7,33400,150.3, 
15,DIJKSTRA,35,756500,104.35, ,IDA*,27,25400,115.5, ,LRTA*,4,34600,104.35, 
16,DIJKSTRA,35,524000,102.44999999999999, ,IDA*,27,26200,92.5, ,LRTA*,4,29700,102.44999999999999, 
17,DIJKSTRA,35,740900,105.95, ,IDA*,27,51100,100.45, ,LRTA*,4,63200,114.0, 
18,DIJKSTRA,35,414300,100.94999999999999, ,IDA*,27,33900,101.8, ,LRTA*,4,18300,113.25, 
19,DIJKSTRA,35,306800,98.75, ,IDA*,27,29900,98.75, ,LRTA*,4,21900,97.7, 
20,DIJKSTRA,35,315800,104.35, ,IDA*,27,12700,103.2, ,LRTA*,4,15300,104.35, 
21,DIJKSTRA,35,570400,93.5, ,IDA*,27,40700,102.4, ,LRTA*,4,21600,95.80000000000001, 
22,DIJKSTRA,35,649600,92.9, ,IDA*,27,16700,96.25, ,LRTA*,4,63200,108.05000000000001, 
23,DIJKSTRA,35,296400,97.15, ,IDA*,27,14700,100.8, ,LRTA*,4,12400,95.80000000000001, 
24,DIJKSTRA,35,338900,105.0, ,IDA*,27,6800,105.0, ,LRTA*,4,14900,109.25, 
25,DIJKSTRA,35,221100,98.65, ,IDA*,27,14400,95.65, ,LRTA*,4,18600,108.05000000000001, 
26,DIJKSTRA,35,303900,104.35, ,IDA*,27,11500,112.75, ,LRTA*,4,16800,104.35, 
27,DIJKSTRA,35,340100,94.8, ,IDA*,27,11900,100.8, ,LRTA*,4,18100,109.95, 
28,DIJKSTRA,35,311100,110.4, ,IDA*,27,12100,102.3, ,LRTA*,4,15700,114.0, 
29,DIJKSTRA,35,320700,97.5, ,IDA*,27,10800,100.05, ,LRTA*,4,16200,97.7, 
30,DIJKSTRA,35,309500,102.44999999999999, ,IDA*,27,13800,104.7, ,LRTA*,4,17100,102.44999999999999, 
31,DIJKSTRA,35,345100,95.19999999999999, ,IDA*,27,11000,104.35, ,LRTA*,4,18000,121.5, 
32,DIJKSTRA,35,318500,113.25, ,IDA*,27,10600,96.75, ,LRTA*,4,17600,108.05000000000001, 
33,DIJKSTRA,35,339300,94.6, ,IDA*,27,16700,99.5, ,LRTA*,4,19000,121.5, 
34,DIJKSTRA,35,304300,95.80000000000001, ,IDA*,27,12800,94.55, ,LRTA*,4,34000,95.80000000000001, 
35,DIJKSTRA,35,493000,107.35, ,IDA*,27,14400,103.2, ,LRTA*,4,23700,107.35, 
36,DIJKSTRA,35,811100,107.5, ,IDA*,27,15300,107.5, ,LRTA*,4,30700,92.8, 
37,DIJKSTRA,35,525300,96.15, ,IDA*,27,11500,96.15, ,LRTA*,4,17200,114.0, 
