Day,Algorithm name,Visited nodes,Execution time,Actual cost, ,Algorithm name,Visited nodes,Execution time,Actual cost, ,Algorithm name,Visited nodes,Execution time,Actual cost,
57,DIJKSTRA,39,328200,169.0, ,IDA*,49,21700,179.25, ,LRTA*,5,24500,169.0, 
58,DIJKSTRA,39,250200,183.7, ,IDA*,49,22600,183.7, ,LRTA*,5,26000,179.9, 
59,DIJKSTRA,39,133600,202.75, ,IDA*,49,9200,200.25, ,LRTA*,5,11800,202.75, 
60,DIJKSTRA,39,125200,171.6, ,IDA*,49,10200,175.0, ,LRTA*,5,10600,183.0, 
61,DIJKSTRA,39,122000,175.8, ,IDA*,49,10300,175.8, ,LRTA*,5,10700,188.3, 
62,DIJKSTRA,39,170000,185.15, ,IDA*,49,11300,177.4, ,LRTA*,5,11700,175.9, 
63,DIJKSTRA,39,196100,194.4, ,IDA*,49,12300,190.65, ,LRTA*,5,16600,194.4, 
64,DIJKSTRA,39,131800,218.8, ,IDA*,49,9500,211.1, ,LRTA*,5,25300,212.9, 
65,DIJKSTRA,39,143300,215.65, ,IDA*,49,10700,191.4, ,LRTA*,5,11600,193.9, 
66,DIJKSTRA,39,167300,218.5, ,IDA*,49,51300,218.3, ,LRTA*,5,13200,218.5, 
67,DIJKSTRA,39,143900,213.65, ,IDA*,49,8800,191.4, ,LRTA*,5,11800,179.9, 
68,DIJKSTRA,39,131200,175.5, ,IDA*,49,10600,175.5, ,LRTA*,5,12300,189.1, 
69,DIJKSTRA,39,127900,208.35, ,IDA*,49,10600,195.85, ,LRTA*,5,17300,208.35, 
70,DIJKSTRA,39,126800,188.70000000000002, ,IDA*,49,8500,188.70000000000002, ,LRTA*,5,10700,188.75, 
71,DIJKSTRA,39,120800,204.55, ,IDA*,49,11700,201.9, ,LRTA*,5,10600,199.65, 
72,DIJKSTRA,39,129500,195.65, ,IDA*,49,9800,195.45000000000002, ,LRTA*,5,10300,195.65, 
73,DIJKSTRA,39,154400,189.9, ,IDA*,49,14200,180.05, ,LRTA*,5,12200,189.9, 
74,DIJKSTRA,39,156900,195.35, ,IDA*,49,9300,195.35, ,LRTA*,5,13600,191.55, 
75,DIJKSTRA,39,261200,176.8, ,IDA*,49,34400,175.85, ,LRTA*,5,17000,189.9, 
76,DIJKSTRA,39,237000,225.25, ,IDA*,49,14400,218.9, ,LRTA*,5,17100,212.9, 
77,DIJKSTRA,39,144300,211.9, ,IDA*,49,9700,201.3, ,LRTA*,5,11900,211.15, 
78,DIJKSTRA,39,727600,179.9, ,IDA*,49,97900,187.4, ,LRTA*,5,67700,179.9, 
79,DIJKSTRA,39,319300,231.55, ,IDA*,49,29700,201.55, ,LRTA*,5,13000,209.65, 
80,DIJKSTRA,39,127000,209.65, ,IDA*,49,12200,205.9, ,LRTA*,5,10600,209.65, 
