Day,Algorithm name,Visited nodes,Execution time,Actual cost, ,Algorithm name,Visited nodes,Execution time,Actual cost, ,Algorithm name,Visited nodes,Execution time,Actual cost,
55,DIJKSTRA,35,313300,90.9, ,IDA*,27,9400,114.5, ,LRTA*,4,18500,90.9, 
56,DIJKSTRA,35,369300,112.55, ,IDA*,27,14400,98.75, ,LRTA*,4,19100,102.45, 
57,DIJKSTRA,35,4105800,111.85, ,IDA*,27,14800,112.7, ,LRTA*,4,26200,119.6, 
58,DIJKSTRA,35,466300,98.15, ,IDA*,27,12800,94.75, ,LRTA*,4,21400,121.5, 
59,DIJKSTRA,35,314900,120.5, ,IDA*,27,8600,101.95, ,LRTA*,4,15200,111.35, 
60,DIJKSTRA,35,292700,96.1, ,IDA*,27,9900,99.45, ,LRTA*,4,15600,96.1, 
61,DIJKSTRA,35,281700,105.05, ,IDA*,27,10700,109.3, ,LRTA*,4,14200,126.25, 
62,DIJKSTRA,35,286900,90.9, ,IDA*,27,7800,113.4, ,LRTA*,4,14900,90.9, 
63,DIJKSTRA,35,314200,92.8, ,IDA*,27,10600,97.95, ,LRTA*,4,15300,92.8, 
64,DIJKSTRA,35,722100,92.8, ,IDA*,27,14500,101.8, ,LRTA*,4,21800,92.8, 
65,DIJKSTRA,35,339300,90.79999999999998, ,IDA*,27,13400,93.8, ,LRTA*,4,17300,94.19999999999999, 
66,DIJKSTRA,35,471100,89.3, ,IDA*,27,15300,89.3, ,LRTA*,4,19500,109.95, 
67,DIJKSTRA,35,564300,95.60000000000001, ,IDA*,27,9700,103.2, ,LRTA*,4,13600,96.1, 
68,DIJKSTRA,35,476500,93.7, ,IDA*,27,9200,93.7, ,LRTA*,4,20500,109.95, 
69,DIJKSTRA,35,261700,99.1, ,IDA*,27,11600,97.95, ,LRTA*,4,11200,99.1, 
70,DIJKSTRA,35,257900,109.25, ,IDA*,27,7600,98.05, ,LRTA*,4,14700,109.25, 
71,DIJKSTRA,35,330300,115.5, ,IDA*,27,9900,115.5, ,LRTA*,4,17400,119.6, 
72,DIJKSTRA,35,835700,97.04999999999998, ,IDA*,27,10000,97.25, ,LRTA*,4,21400,119.6, 
73,DIJKSTRA,35,553900,96.44999999999999, ,IDA*,27,34500,99.1, ,LRTA*,4,80900,107.35, 
74,DIJKSTRA,35,265600,99.4, ,IDA*,27,15300,105.05, ,LRTA*,4,20700,119.6, 
75,DIJKSTRA,35,268100,102.15, ,IDA*,27,10100,110.05, ,LRTA*,4,18200,95.80000000000001, 
76,DIJKSTRA,35,319000,95.2, ,IDA*,27,8700,95.25, ,LRTA*,4,18800,109.95, 
77,DIJKSTRA,35,267000,107.85, ,IDA*,27,11100,111.75, ,LRTA*,4,14900,107.35, 
78,DIJKSTRA,35,270300,98.0, ,IDA*,27,8000,110.3, ,LRTA*,4,17400,119.6, 
79,DIJKSTRA,35,337000,99.1, ,IDA*,27,40700,99.05, ,LRTA*,4,14800,99.1, 
80,DIJKSTRA,35,282900,99.25, ,IDA*,27,7100,97.25, ,LRTA*,4,15000,113.25, 
