Day,Algorithm name,Visited nodes,Execution time,Actual cost, ,Algorithm name,Visited nodes,Execution time,Actual cost, ,Algorithm name,Visited nodes,Execution time,Actual cost,
1,DIJKSTRA,39,3477800,119.6, ,IDA*,26,216200,130.25, ,LRTA*,19,202700,750.35, 
2,DIJKSTRA,39,804200,106.35000000000001, ,IDA*,26,41100,106.35000000000001, ,LRTA*,18,79300,807.5, 
3,DIJKSTRA,39,1021100,104.6, ,IDA*,26,46600,104.6, ,LRTA*,22,248100,897.7, 
4,DIJKSTRA,39,732700,152.75, ,IDA*,26,48600,135.5, ,LRTA*,17,106200,568.15, 
5,DIJKSTRA,39,767300,124.25, ,IDA*,26,57800,117.0, ,LRTA*,8,46200,295.45, 
6,DIJKSTRA,39,606300,119.0, ,IDA*,26,44400,120.5, ,LRTA*,14,68800,709.25, 
7,DIJKSTRA,39,6478100,103.60000000000001, ,IDA*,26,970300,103.60000000000001, ,LRTA*,9,605600,394.2, 
8,DIJKSTRA,39,1263100,120.7, ,IDA*,26,49600,110.45, ,LRTA*,7,398100,280.75, 
9,DIJKSTRA,39,1669600,122.15, ,IDA*,26,44200,126.9, ,LRTA*,7,76100,274.2, 
10,DIJKSTRA,39,3369000,126.4, ,IDA*,26,337400,120.0, ,LRTA*,5,34200,170.7, 
11,DIJKSTRA,39,505800,109.85, ,IDA*,26,126200,109.85, ,LRTA*,6,32800,208.04999999999998, 
12,DIJKSTRA,39,606800,119.15, ,IDA*,26,21600,107.35, ,LRTA*,13,67400,415.34999999999997, 
13,DIJKSTRA,39,1729300,120.25, ,IDA*,26,400800,120.25, ,LRTA*,6,37500,254.0, 
14,DIJKSTRA,39,2944300,111.65, ,IDA*,26,24300,111.65, ,LRTA*,6,199100,173.54999999999998, 
15,DIJKSTRA,39,3048300,116.6, ,IDA*,26,20600,116.6, ,LRTA*,5,48600,179.35, 
16,DIJKSTRA,39,635500,125.7, ,IDA*,26,14800,125.7, ,LRTA*,5,21500,170.7, 
17,DIJKSTRA,39,524100,116.75, ,IDA*,26,25500,115.45, ,LRTA*,5,31300,170.7, 
18,DIJKSTRA,39,731800,122.3, ,IDA*,26,17700,117.9, ,LRTA*,5,22800,167.0, 
19,DIJKSTRA,39,490700,126.9, ,IDA*,26,202700,126.9, ,LRTA*,5,27300,176.04999999999998, 
20,DIJKSTRA,39,465900,124.6, ,IDA*,26,39000,124.6, ,LRTA*,5,22400,164.79999999999998, 
21,DIJKSTRA,39,623000,116.4, ,IDA*,26,16600,116.6, ,LRTA*,5,47900,187.0, 
22,DIJKSTRA,39,1314400,123.9, ,IDA*,26,12600,123.9, ,LRTA*,5,39400,197.0, 
23,DIJKSTRA,39,1198100,110.5, ,IDA*,26,16000,117.9, ,LRTA*,7,31000,312.75, 
24,DIJKSTRA,39,428700,115.5, ,IDA*,26,10100,115.5, ,LRTA*,5,24800,185.5, 
25,DIJKSTRA,39,497500,111.0, ,IDA*,26,14200,111.0, ,LRTA*,6,42300,214.75, 
26,DIJKSTRA,39,473900,111.4, ,IDA*,26,19500,111.4, ,LRTA*,7,30400,261.5, 
27,DIJKSTRA,39,412600,119.15, ,IDA*,26,12300,114.4, ,LRTA*,5,25800,192.5, 
28,DIJKSTRA,39,540200,107.1, ,IDA*,26,13000,107.1, ,LRTA*,5,24600,187.6, 
29,DIJKSTRA,39,736500,116.5, ,IDA*,26,17900,107.85, ,LRTA*,5,75500,166.2, 
30,DIJKSTRA,39,809400,116.2, ,IDA*,26,67000,116.2, ,LRTA*,5,176400,174.0, 
31,DIJKSTRA,39,946500,108.4, ,IDA*,26,13800,108.4, ,LRTA*,5,28600,194.5, 
32,DIJKSTRA,39,4576800,119.2, ,IDA*,26,51700,106.10000000000001, ,LRTA*,5,34100,182.25, 
33,DIJKSTRA,39,405600,119.0, ,IDA*,26,11900,120.5, ,LRTA*,5,24200,174.0, 
34,DIJKSTRA,39,370200,110.5, ,IDA*,26,8800,121.15, ,LRTA*,5,30000,177.35, 
35,DIJKSTRA,39,401100,113.7, ,IDA*,26,9900,113.7, ,LRTA*,5,22300,174.0, 
36,DIJKSTRA,39,2291800,119.0, ,IDA*,26,12300,107.2, ,LRTA*,5,31800,178.25, 
37,DIJKSTRA,39,455500,115.4, ,IDA*,26,10700,114.65, ,LRTA*,5,24800,185.45, 
38,DIJKSTRA,39,26488100,103.5, ,IDA*,26,9900,103.5, ,LRTA*,5,32800,171.85, 
39,DIJKSTRA,39,362000,116.2, ,IDA*,26,9400,116.2, ,LRTA*,5,23000,178.75, 
40,DIJKSTRA,39,522200,119.0, ,IDA*,26,19400,123.75, ,LRTA*,5,42700,166.2, 
41,DIJKSTRA,39,318300,109.35000000000001, ,IDA*,26,9800,109.35000000000001, ,LRTA*,5,151500,184.25, 
42,DIJKSTRA,39,394100,122.35, ,IDA*,26,12500,128.45, ,LRTA*,5,25800,168.1, 
43,DIJKSTRA,39,856900,120.75, ,IDA*,26,64200,120.75, ,LRTA*,5,38200,181.95, 
44,DIJKSTRA,39,614300,108.2, ,IDA*,26,33400,104.8, ,LRTA*,5,20700,164.79999999999998, 
45,DIJKSTRA,39,250000,108.4, ,IDA*,26,6800,108.4, ,LRTA*,5,15600,174.05, 
46,DIJKSTRA,39,470000,108.4, ,IDA*,26,12100,108.4, ,LRTA*,5,18800,174.0, 
47,DIJKSTRA,39,247400,126.9, ,IDA*,26,7700,126.9, ,LRTA*,5,16700,182.25, 
48,DIJKSTRA,39,257500,106.0, ,IDA*,26,8200,106.0, ,LRTA*,5,20100,163.6, 
49,DIJKSTRA,39,243200,107.2, ,IDA*,26,8300,107.2, ,LRTA*,5,19100,197.0, 
50,DIJKSTRA,39,231400,119.2, ,IDA*,26,13400,119.2, ,LRTA*,5,22900,164.79999999999998, 
51,DIJKSTRA,39,212000,116.4, ,IDA*,26,7600,116.6, ,LRTA*,5,17200,185.25, 
52,DIJKSTRA,39,249900,112.4, ,IDA*,26,7100,112.4, ,LRTA*,5,16200,170.7, 
53,DIJKSTRA,39,215300,104.6, ,IDA*,26,6400,104.6, ,LRTA*,5,19100,192.5, 
54,DIJKSTRA,39,205600,104.8, ,IDA*,26,6400,104.8, ,LRTA*,5,18800,177.75, 
55,DIJKSTRA,39,207900,106.75, ,IDA*,26,6800,106.75, ,LRTA*,5,16200,185.25, 
56,DIJKSTRA,39,217600,104.6, ,IDA*,26,6800,104.6, ,LRTA*,5,16900,168.14999999999998, 
57,DIJKSTRA,39,211300,115.80000000000001, ,IDA*,26,6700,117.9, ,LRTA*,5,15500,169.5, 
58,DIJKSTRA,39,204500,106.10000000000001, ,IDA*,26,6600,106.10000000000001, ,LRTA*,5,16300,182.25, 
59,DIJKSTRA,39,204500,109.05000000000001, ,IDA*,26,6400,109.05000000000001, ,LRTA*,5,16100,174.0, 
60,DIJKSTRA,39,208300,117.5, ,IDA*,26,6500,117.5, ,LRTA*,5,16100,169.5, 
61,DIJKSTRA,39,214800,126.05, ,IDA*,26,6500,120.0, ,LRTA*,5,23100,163.6, 
62,DIJKSTRA,39,379500,119.35, ,IDA*,26,17500,126.9, ,LRTA*,5,23700,180.55, 
63,DIJKSTRA,39,291300,108.65, ,IDA*,26,45900,108.65, ,LRTA*,5,26100,193.5, 
64,DIJKSTRA,39,269100,112.0, ,IDA*,26,8800,106.1, ,LRTA*,5,16900,164.79999999999998, 
65,DIJKSTRA,39,263500,110.5, ,IDA*,26,37300,111.65, ,LRTA*,5,20400,171.85, 
66,DIJKSTRA,39,240000,107.2, ,IDA*,26,7900,107.2, ,LRTA*,5,18000,185.45, 
67,DIJKSTRA,39,218600,114.35, ,IDA*,26,8500,114.35, ,LRTA*,5,23500,205.95, 
68,DIJKSTRA,39,211400,141.0, ,IDA*,26,7000,120.65, ,LRTA*,5,20200,167.0, 
69,DIJKSTRA,39,202700,119.0, ,IDA*,26,8300,123.75, ,LRTA*,5,19700,167.0, 
70,DIJKSTRA,39,216300,116.4, ,IDA*,26,8200,103.30000000000001, ,LRTA*,5,18100,169.5, 
71,DIJKSTRA,39,234700,111.75, ,IDA*,26,14000,119.7, ,LRTA*,5,18100,177.75, 
72,DIJKSTRA,39,228100,126.4, ,IDA*,26,13100,126.4, ,LRTA*,5,23200,179.35, 
73,DIJKSTRA,39,297700,115.2, ,IDA*,26,11800,115.2, ,LRTA*,5,27200,168.1, 
74,DIJKSTRA,39,232600,123.2, ,IDA*,26,8000,124.7, ,LRTA*,5,20800,182.25, 
75,DIJKSTRA,39,474100,113.1, ,IDA*,26,7800,113.1, ,LRTA*,5,22100,179.35, 
76,DIJKSTRA,39,213100,108.4, ,IDA*,26,6800,108.4, ,LRTA*,5,15900,200.0, 
77,DIJKSTRA,39,206500,126.25, ,IDA*,26,7400,126.25, ,LRTA*,5,18200,177.35, 
78,DIJKSTRA,39,1295800,116.75, ,IDA*,26,29400,116.75, ,LRTA*,5,21300,164.79999999999998, 
79,DIJKSTRA,39,575100,124.4, ,IDA*,26,254900,115.85, ,LRTA*,5,30200,170.7, 
80,DIJKSTRA,39,1116900,106.05000000000001, ,IDA*,26,130900,106.05000000000001, ,LRTA*,5,88400,168.1, 
